,loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,dti,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_util,total_acc,int_rate_groups,open_acc_groups,revol_util_groups,total_acc_groups,annual_inc_groups,installment_groups,loan_amnt_groups
114,10000,10000, 36 months,18.25,362.78,D,D5,1,RENT,75000.0,Source Verified,Dec-11,Charged Off,credit_card,24.14,Mar-97,0,9,0,96.3,26,17%-21%,2-10,80-100,20-37,85k-112k,274-403,5k-10k
120,25000,25000, 60 months,13.49,575.12,C,C1,10,MORTGAGE,67000.0,Verified,Dec-11,Charged Off,credit_card,14.15,Aug-99,0,6,0,91.2,21,13%-17%,2-10,80-100,20-37,58k-85k,531-660,20k-25k
121,19750,19750, 36 months,10.65,643.33,B,B2,4,RENT,45000.0,Verified,Dec-11,Charged Off,debt_consolidation,22.8,Sep-00,0,12,0,54.2,28,9%-13%,10-19,40-60,20-37,31k-58k,531-660,15k-20k
124,28000,11800, 60 months,19.91,312.04,E,E4,10,RENT,52000.0,Verified,Dec-11,Charged Off,debt_consolidation,20.7,Dec-88,0,10,0,87.6,16,17%-21%,2-10,80-100,2-20,58k-85k,274-403,25k-30k
131,24000,24000, 36 months,15.96,843.3,C,C5,8,MORTGAGE,90000.0,Source Verified,Dec-11,Charged Off,home_improvement,9.17,Jun-95,1,9,0,71.2,23,13%-17%,2-10,60-80,20-37,85k-112k,789-918,20k-25k
137,11100,11100, 36 months,6.62,340.82,A,A2,10,RENT,41000.0,Verified,Dec-11,Charged Off,credit_card,29.85,Jan-91,1,8,0,62.3,18,5%-9%,2-10,60-80,2-20,31k-58k,274-403,10k-15k
145,12000,12000, 36 months,9.91,386.7,B,B1,2,RENT,42000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,7.83,Jun-06,2,8,0,65.4,16,9%-13%,2-10,60-80,2-20,31k-58k,274-403,10k-15k
151,10000,10000, 36 months,11.71,330.76,B,B3,8,RENT,60000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,22.08,Jul-01,0,8,0,29.3,26,9%-13%,2-10,20-40,20-37,58k-85k,274-403,5k-10k
153,13475,13475, 60 months,13.49,309.99,C,C1,10,RENT,25000.0,Verified,Dec-11,Charged Off,credit_card,21.89,Dec-01,1,7,0,65.8,14,13%-17%,2-10,60-80,2-20,3k-31k,274-403,10k-15k
155,5600,5600, 36 months,14.65,193.17,C,C3,1,MORTGAGE,85000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,12.24,May-99,3,8,0,90.8,31,13%-17%,2-10,80-100,20-37,85k-112k,145-274,5k-10k
168,2500,2500, 36 months,7.51,77.78,A,A3,10,OWN,12000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,16.3,Aug-94,2,13,0,42.2,20,5%-9%,10-19,40-60,20-37,3k-31k,14-145,0-5k
175,10000,10000, 36 months,13.49,339.31,C,C1,5,RENT,65000.0,Not Verified,Dec-11,Charged Off,small_business,6.92,Dec-99,2,12,0,69.5,17,13%-17%,10-19,60-80,2-20,58k-85k,274-403,5k-10k
176,7750,7750, 36 months,17.27,277.36,D,D3,0,RENT,24000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,16.1,Sep-04,1,4,0,67.1,7,17%-21%,2-10,60-80,2-20,3k-31k,274-403,5k-10k
177,20000,20000, 60 months,20.89,539.84,F,F1,6,RENT,70000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,16.63,Nov-02,1,10,0,79.9,24,21%-24%,2-10,60-80,20-37,58k-85k,531-660,15k-20k
179,21000,21000, 60 months,11.71,464.07,B,B3,3,RENT,60000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,6.62,Dec-90,0,7,0,79.9,11,9%-13%,2-10,60-80,2-20,58k-85k,403-531,20k-25k
182,15000,15000, 36 months,16.77,533.08,D,D2,10,RENT,42000.0,Verified,Dec-11,Charged Off,debt_consolidation,19.63,Aug-01,2,10,0,74.9,38,13%-17%,2-10,60-80,37-55,31k-58k,531-660,10k-15k
183,15000,15000, 36 months,17.27,536.81,D,D3,8,RENT,75000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,16.03,Mar-91,0,10,0,75.9,17,17%-21%,2-10,60-80,2-20,85k-112k,531-660,10k-15k
188,16000,16000, 36 months,12.69,536.72,B,B5,1,RENT,58500.0,Source Verified,Dec-11,Charged Off,debt_consolidation,20.64,Sep-94,0,8,0,89.3,10,9%-13%,2-10,80-100,2-20,58k-85k,531-660,15k-20k
195,12000,12000, 36 months,14.27,411.71,C,C2,8,MORTGAGE,70000.0,Not Verified,Dec-11,Charged Off,other,8.4,Aug-05,1,7,0,86.2,12,13%-17%,2-10,80-100,2-20,58k-85k,403-531,10k-15k
203,13650,13650, 36 months,12.42,456.12,B,B4,10,MORTGAGE,86000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,12.29,May-94,1,12,0,73.4,34,9%-13%,10-19,60-80,20-37,85k-112k,403-531,10k-15k
204,10500,10500, 36 months,16.29,370.66,D,D1,3,RENT,30000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,15.0,Nov-07,1,7,0,55.5,8,13%-17%,2-10,40-60,2-20,31k-58k,274-403,10k-15k
212,15075,15075, 36 months,14.27,517.21,C,C2,10,RENT,35000.0,Verified,Dec-11,Charged Off,debt_consolidation,20.16,Aug-00,1,7,0,89.6,14,13%-17%,2-10,80-100,2-20,31k-58k,403-531,10k-15k
220,9500,9500, 36 months,12.69,318.68,B,B5,0,MORTGAGE,52500.0,Source Verified,Dec-11,Charged Off,moving,23.54,Jul-99,2,14,0,75.3,42,9%-13%,10-19,60-80,37-55,58k-85k,274-403,5k-10k
224,7200,7200, 36 months,7.9,225.29,A,A4,3,RENT,68000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,7.98,Jan-02,0,5,0,82.9,14,5%-9%,2-10,80-100,2-20,58k-85k,145-274,5k-10k
225,26000,26000, 60 months,16.77,642.96,D,D2,10,MORTGAGE,53000.0,Verified,Dec-11,Charged Off,home_improvement,11.77,Sep-98,1,5,0,72.7,14,13%-17%,2-10,60-80,2-20,58k-85k,531-660,25k-30k
226,7000,7000, 60 months,11.71,154.69,B,B3,6,MORTGAGE,69600.0,Verified,Dec-11,Charged Off,credit_card,26.22,Oct-79,0,10,0,90.9,23,9%-13%,2-10,80-100,20-37,58k-85k,145-274,5k-10k
231,10000,10000, 36 months,12.69,335.45,B,B5,2,RENT,70000.0,Not Verified,Dec-11,Charged Off,credit_card,2.69,Oct-00,0,5,0,70.2,6,9%-13%,2-10,60-80,2-20,58k-85k,274-403,5k-10k
239,15600,15600, 60 months,12.69,352.48,B,B5,10,RENT,50000.0,Source Verified,Dec-11,Charged Off,vacation,5.78,Jun-03,1,8,0,35.7,11,9%-13%,2-10,20-40,2-20,58k-85k,274-403,15k-20k
251,4000,4000, 36 months,12.69,134.18,B,B5,2,RENT,25000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,6.86,Feb-05,3,5,0,79.7,13,9%-13%,2-10,60-80,2-20,3k-31k,14-145,0-5k
255,10000,10000, 36 months,12.42,334.16,B,B4,10,RENT,39000.0,Source Verified,Dec-11,Charged Off,credit_card,18.31,Aug-98,1,7,0,90.6,19,9%-13%,2-10,80-100,2-20,31k-58k,274-403,5k-10k
266,12000,12000, 36 months,8.9,381.04,A,A5,7,RENT,80000.0,Not Verified,Dec-11,Charged Off,other,9.13,Oct-03,0,8,0,83.5,16,5%-9%,2-10,80-100,2-20,85k-112k,274-403,10k-15k
270,16000,16000, 60 months,13.49,368.08,C,C1,10,RENT,35000.0,Verified,Dec-11,Charged Off,small_business,16.22,Jul-02,1,6,0,58.5,14,13%-17%,2-10,40-60,2-20,31k-58k,274-403,15k-20k
273,11875,11875, 60 months,12.69,268.32,B,B5,0,RENT,25920.0,Source Verified,Dec-11,Charged Off,debt_consolidation,23.75,Apr-01,0,8,0,94.1,28,9%-13%,2-10,80-100,20-37,3k-31k,145-274,10k-15k
278,14000,14000, 36 months,7.9,438.07,A,A4,10,OWN,45600.0,Not Verified,Dec-11,Charged Off,debt_consolidation,19.74,Jun-92,0,5,0,63.9,10,5%-9%,2-10,60-80,2-20,31k-58k,403-531,10k-15k
299,8000,8000, 36 months,16.29,282.41,D,D1,5,RENT,50000.0,Not Verified,Dec-11,Charged Off,credit_card,13.22,Nov-05,0,9,0,72.9,12,13%-17%,2-10,60-80,2-20,58k-85k,274-403,5k-10k
300,30000,30000, 60 months,12.42,673.72,B,B4,3,RENT,70000.0,Source Verified,Dec-11,Charged Off,small_business,0.94,Jul-06,0,7,0,3.2,14,9%-13%,2-10,0-20,2-20,58k-85k,660-789,25k-30k
301,18000,18000, 60 months,16.77,445.13,D,D2,6,OWN,40000.0,Not Verified,Dec-11,Charged Off,home_improvement,18.42,Nov-00,3,7,0,73.4,20,13%-17%,2-10,60-80,20-37,31k-58k,403-531,15k-20k
304,20000,20000, 60 months,20.3,533.23,E,E5,10,OWN,59000.0,Verified,Dec-11,Charged Off,debt_consolidation,20.91,Aug-00,2,16,0,83.1,32,17%-21%,10-19,80-100,20-37,58k-85k,531-660,15k-20k
313,9000,9000, 60 months,19.91,238.0,E,E4,3,RENT,60000.0,Verified,Dec-11,Charged Off,credit_card,22.56,Dec-97,1,17,0,91.1,30,17%-21%,10-19,80-100,20-37,58k-85k,145-274,5k-10k
314,25000,25000, 60 months,18.64,643.58,E,E1,10,RENT,61500.0,Verified,Dec-11,Charged Off,debt_consolidation,12.6,Apr-00,0,11,0,60.8,25,17%-21%,10-19,60-80,20-37,58k-85k,531-660,20k-25k
317,20000,20000, 60 months,15.27,478.64,C,C4,10,OWN,78216.0,Verified,Dec-11,Charged Off,debt_consolidation,10.79,Jul-95,1,8,0,80.3,21,13%-17%,2-10,80-100,20-37,85k-112k,403-531,15k-20k
318,18000,18000, 60 months,17.27,449.97,D,D3,1,MORTGAGE,62000.0,Verified,Dec-11,Charged Off,debt_consolidation,7.82,Aug-88,2,8,0,86.7,30,17%-21%,2-10,80-100,20-37,58k-85k,403-531,15k-20k
324,5000,5000, 36 months,12.42,167.08,B,B4,2,RENT,30000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,23.84,Jun-01,2,8,0,89.7,40,9%-13%,2-10,80-100,37-55,31k-58k,145-274,0-5k
328,12000,12000, 36 months,9.91,386.7,B,B1,10,RENT,55000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,13.0,Mar-98,0,10,0,75.5,17,9%-13%,2-10,60-80,2-20,58k-85k,274-403,10k-15k
339,10000,10000, 36 months,11.71,330.76,B,B3,5,RENT,32000.0,Not Verified,Dec-11,Charged Off,credit_card,21.83,Oct-01,0,11,0,59.6,23,9%-13%,10-19,40-60,20-37,31k-58k,274-403,5k-10k
344,12000,12000, 36 months,11.71,396.92,B,B3,10,RENT,57200.0,Source Verified,Dec-11,Charged Off,debt_consolidation,16.36,May-00,0,11,0,68.5,17,9%-13%,10-19,60-80,2-20,58k-85k,274-403,10k-15k
348,10000,10000, 36 months,12.69,335.45,B,B5,2,RENT,35000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,12.03,Apr-00,1,10,0,84.6,15,9%-13%,2-10,80-100,2-20,31k-58k,274-403,5k-10k
356,9750,9750, 36 months,7.51,303.34,A,A3,4,RENT,35000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,29.04,Sep-96,1,9,0,51.7,19,5%-9%,2-10,40-60,2-20,31k-58k,274-403,5k-10k
362,25000,25000, 60 months,19.42,654.31,E,E3,10,RENT,60000.0,Verified,Dec-11,Charged Off,credit_card,20.04,Aug-00,0,12,0,94.9,24,17%-21%,10-19,80-100,20-37,58k-85k,531-660,20k-25k
365,8875,8875, 36 months,12.69,297.72,B,B5,5,MORTGAGE,35360.0,Verified,Dec-11,Charged Off,debt_consolidation,23.11,Sep-05,1,9,0,71.1,13,9%-13%,2-10,60-80,2-20,31k-58k,274-403,5k-10k
376,12000,12000, 36 months,8.9,381.04,A,A5,3,RENT,32000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,6.75,Nov-05,0,9,0,59.2,12,5%-9%,2-10,40-60,2-20,31k-58k,274-403,10k-15k
380,15000,15000, 60 months,12.69,338.93,B,B5,3,OWN,30000.0,Verified,Dec-11,Charged Off,debt_consolidation,24.76,Jun-04,1,7,0,65.7,17,9%-13%,2-10,60-80,2-20,31k-58k,274-403,10k-15k
381,8050,8050, 36 months,12.69,270.04,B,B5,1,RENT,36000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,14.8,May-07,0,4,0,81.3,7,9%-13%,2-10,80-100,2-20,31k-58k,145-274,5k-10k
388,6000,6000, 60 months,7.9,121.38,A,A4,0,RENT,30084.0,Verified,Dec-11,Charged Off,debt_consolidation,1.68,Jul-94,0,6,0,10.0,15,5%-9%,2-10,0-20,2-20,31k-58k,14-145,5k-10k
412,1500,1500, 36 months,18.64,54.72,E,E1,0,RENT,17000.0,Source Verified,Dec-11,Charged Off,other,4.59,Sep-07,3,10,0,99.8,15,17%-21%,2-10,80-100,2-20,3k-31k,14-145,0-5k
414,20000,16925, 60 months,14.65,399.55,C,C3,10,RENT,75000.0,Verified,Dec-11,Charged Off,debt_consolidation,16.51,Nov-95,2,10,0,74.9,16,13%-17%,2-10,60-80,2-20,85k-112k,274-403,15k-20k
422,1000,1000, 36 months,14.65,34.5,C,C3,10,RENT,18408.0,Not Verified,Dec-11,Charged Off,major_purchase,6.0,Apr-93,2,3,1,83.7,8,13%-17%,2-10,80-100,2-20,3k-31k,14-145,0-5k
424,8500,8500, 36 months,14.27,291.63,C,C2,9,RENT,50000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,8.5,Nov-04,2,15,0,61.5,27,13%-17%,10-19,60-80,20-37,58k-85k,274-403,5k-10k
430,33425,20675, 60 months,13.49,475.63,C,C1,2,MORTGAGE,75000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,25.71,Jul-78,3,10,0,50.5,43,13%-17%,2-10,40-60,37-55,85k-112k,403-531,30k-35k
433,18000,18000, 60 months,11.71,397.77,B,B3,0,RENT,40000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,18.18,Dec-99,0,6,0,68.8,12,9%-13%,2-10,60-80,2-20,31k-58k,274-403,15k-20k
435,20000,20000, 60 months,16.77,494.59,D,D2,10,RENT,60000.0,Verified,Dec-11,Charged Off,debt_consolidation,9.46,Mar-95,2,13,0,41.0,30,13%-17%,10-19,40-60,20-37,58k-85k,403-531,15k-20k
458,14400,14400, 36 months,18.25,522.41,D,D5,5,RENT,51871.0,Verified,Dec-11,Charged Off,debt_consolidation,7.82,Mar-06,0,5,0,79.3,9,17%-21%,2-10,60-80,2-20,58k-85k,403-531,10k-15k
462,4200,4200, 60 months,17.27,105.0,D,D3,9,RENT,43000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,10.13,Nov-96,1,9,0,77.0,19,17%-21%,2-10,60-80,2-20,31k-58k,14-145,0-5k
464,3000,3000, 36 months,10.65,97.72,B,B2,10,MORTGAGE,86004.0,Not Verified,Dec-11,Charged Off,other,13.37,Dec-97,2,8,0,64.6,35,9%-13%,2-10,60-80,20-37,85k-112k,14-145,0-5k
466,15000,15000, 36 months,16.29,529.51,D,D1,1,RENT,110000.0,Verified,Dec-11,Charged Off,small_business,21.99,Nov-98,0,12,0,84.1,24,13%-17%,10-19,80-100,20-37,112k-140k,403-531,10k-15k
476,10000,10000, 36 months,17.27,357.88,D,D3,8,RENT,68000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,17.15,Mar-02,1,7,0,92.5,16,17%-21%,2-10,80-100,2-20,58k-85k,274-403,5k-10k
480,16000,16000, 36 months,7.9,500.65,A,A4,1,RENT,51000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,24.66,Dec-92,0,8,0,81.0,28,5%-9%,2-10,80-100,20-37,58k-85k,403-531,15k-20k
484,2200,2200, 36 months,15.27,76.56,C,C4,10,OWN,48000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,5.47,May-00,3,3,0,83.7,7,13%-17%,2-10,80-100,2-20,31k-58k,14-145,0-5k
489,8000,8000, 60 months,8.9,165.68,A,A5,1,RENT,51204.0,Not Verified,Dec-11,Charged Off,debt_consolidation,25.12,Aug-87,0,16,0,37.6,40,5%-9%,10-19,20-40,37-55,58k-85k,145-274,5k-10k
496,35000,23250, 60 months,20.3,619.88,E,E5,3,OWN,85000.0,Verified,Dec-11,Charged Off,debt_consolidation,16.39,Dec-84,2,10,0,76.5,40,17%-21%,2-10,60-80,37-55,85k-112k,531-660,30k-35k
505,12000,12000, 60 months,14.65,283.28,C,C3,0,RENT,75000.0,Verified,Dec-11,Charged Off,credit_card,16.13,Nov-00,3,14,0,89.4,28,13%-17%,10-19,80-100,20-37,85k-112k,274-403,10k-15k
514,21250,21250, 36 months,12.42,710.08,B,B4,5,RENT,37000.0,Verified,Dec-11,Charged Off,other,14.27,May-00,1,8,0,69.3,21,9%-13%,2-10,60-80,20-37,31k-58k,660-789,20k-25k
523,15000,15000, 36 months,15.27,521.97,C,C4,10,RENT,60000.0,Verified,Dec-11,Charged Off,debt_consolidation,10.72,Apr-02,2,7,0,75.2,18,13%-17%,2-10,60-80,2-20,58k-85k,403-531,10k-15k
526,4000,4000, 36 months,12.69,134.18,B,B5,6,RENT,30000.0,Not Verified,Dec-11,Charged Off,home_improvement,17.6,Mar-96,1,8,0,5.5,20,9%-13%,2-10,0-20,20-37,31k-58k,14-145,0-5k
532,4000,4000, 60 months,19.91,105.78,E,E4,10,RENT,45000.0,Source Verified,Dec-11,Charged Off,house,15.2,Mar-96,3,5,1,22.4,11,17%-21%,2-10,20-40,2-20,31k-58k,14-145,0-5k
534,1700,1700, 36 months,7.9,53.2,A,A4,10,MORTGAGE,37800.0,Not Verified,Dec-11,Charged Off,home_improvement,27.0,Jul-79,0,9,0,91.2,27,5%-9%,2-10,80-100,20-37,31k-58k,14-145,0-5k
537,12000,12000, 36 months,14.65,413.94,C,C3,6,RENT,54400.0,Verified,Dec-11,Charged Off,debt_consolidation,13.81,Nov-98,1,14,0,60.2,33,13%-17%,10-19,60-80,20-37,58k-85k,403-531,10k-15k
539,8000,8000, 60 months,20.3,213.29,E,E5,1,RENT,42500.0,Source Verified,Dec-11,Charged Off,debt_consolidation,14.23,Mar-04,1,10,0,95.0,24,17%-21%,2-10,80-100,20-37,31k-58k,145-274,5k-10k
541,13000,13000, 36 months,16.29,458.91,D,D1,10,RENT,28000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,12.9,Oct-01,1,4,0,93.3,8,13%-17%,2-10,80-100,2-20,31k-58k,403-531,10k-15k
546,24000,24000, 60 months,17.58,603.98,D,D4,5,RENT,68809.0,Verified,Dec-11,Charged Off,debt_consolidation,21.29,Jun-05,1,10,0,25.3,20,17%-21%,2-10,20-40,20-37,58k-85k,531-660,20k-25k
547,11200,11200, 36 months,12.42,374.26,B,B4,3,RENT,75000.0,Not Verified,Dec-11,Charged Off,car,22.88,Dec-96,0,8,0,74.4,13,9%-13%,2-10,60-80,2-20,85k-112k,274-403,10k-15k
559,12000,12000, 36 months,14.27,411.71,C,C2,2,RENT,28000.0,Source Verified,Dec-11,Charged Off,credit_card,8.49,Aug-07,1,9,0,68.5,10,13%-17%,2-10,60-80,2-20,31k-58k,403-531,10k-15k
563,3000,3000, 36 months,7.9,93.88,A,A4,10,MORTGAGE,65000.0,Not Verified,Dec-11,Charged Off,other,4.89,Aug-94,0,4,0,85.3,18,5%-9%,2-10,80-100,2-20,58k-85k,14-145,0-5k
569,8575,8575, 36 months,17.58,308.21,D,D4,10,MORTGAGE,32000.0,Verified,Dec-11,Charged Off,debt_consolidation,22.54,Sep-04,1,4,0,89.9,5,17%-21%,2-10,80-100,2-20,31k-58k,274-403,5k-10k
570,28000,18625, 60 months,12.42,418.27,B,B4,8,MORTGAGE,84996.0,Verified,Dec-11,Charged Off,debt_consolidation,23.41,Dec-98,0,13,0,44.2,40,9%-13%,10-19,40-60,37-55,85k-112k,403-531,25k-30k
574,16000,16000, 60 months,18.25,408.48,D,D5,10,MORTGAGE,49000.0,Verified,Dec-11,Charged Off,credit_card,18.39,Dec-01,2,15,0,94.5,23,17%-21%,10-19,80-100,20-37,58k-85k,403-531,15k-20k
580,11000,11000, 36 months,7.9,344.2,A,A4,4,MORTGAGE,80000.0,Not Verified,Dec-11,Charged Off,credit_card,4.74,Dec-99,0,8,0,77.7,15,5%-9%,2-10,60-80,2-20,85k-112k,274-403,10k-15k
581,5000,5000, 36 months,16.29,176.51,D,D1,6,MORTGAGE,85000.0,Source Verified,Dec-11,Charged Off,medical,22.81,May-04,2,9,0,90.0,17,13%-17%,2-10,80-100,2-20,85k-112k,145-274,0-5k
583,10000,10000, 36 months,12.69,335.45,B,B5,6,OWN,36000.0,Verified,Dec-11,Charged Off,debt_consolidation,15.9,Dec-06,3,8,0,65.3,10,9%-13%,2-10,60-80,2-20,31k-58k,274-403,5k-10k
588,3000,3000, 36 months,16.29,105.91,D,D1,4,MORTGAGE,65000.0,Not Verified,Dec-11,Charged Off,other,15.16,Jun-07,1,12,0,60.2,18,13%-17%,10-19,60-80,2-20,58k-85k,14-145,0-5k
589,7700,7700, 36 months,16.77,273.65,D,D2,3,RENT,29772.96,Source Verified,Dec-11,Charged Off,other,18.58,Aug-00,0,6,0,82.9,11,13%-17%,2-10,80-100,2-20,31k-58k,274-403,5k-10k
593,24500,24500, 60 months,20.89,661.3,F,F1,4,RENT,85000.0,Verified,Dec-11,Charged Off,credit_card,9.09,Apr-04,0,6,0,94.4,8,21%-24%,2-10,80-100,2-20,85k-112k,660-789,20k-25k
598,13000,13000, 36 months,7.9,406.78,A,A4,10,RENT,28000.0,Not Verified,Dec-11,Charged Off,credit_card,16.93,Apr-00,0,7,0,66.1,19,5%-9%,2-10,60-80,2-20,31k-58k,403-531,10k-15k
600,3600,3600, 36 months,12.69,120.77,B,B5,10,MORTGAGE,60000.0,Not Verified,Dec-11,Charged Off,medical,19.0,Aug-01,3,10,1,13.0,17,9%-13%,2-10,0-20,2-20,58k-85k,14-145,0-5k
601,12375,12375, 60 months,23.13,349.79,G,G2,5,RENT,40000.0,Not Verified,Dec-11,Charged Off,other,20.88,Jan-96,0,27,0,22.5,31,21%-24%,27-36,20-40,20-37,31k-58k,274-403,10k-15k
614,7100,7100, 36 months,14.65,244.91,C,C3,1,RENT,33000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,23.85,Jun-06,2,10,0,41.5,13,13%-17%,2-10,40-60,2-20,31k-58k,145-274,5k-10k
